,추정EPS(2023),EPS(3년 평균),EV/EVIBTA
095570,350.0,846.0,4.19
006840,,-5924.333333333333,
027410,,417.0,
282330,11444.0,8133.333333333333,3.83
138930,2329.0,1915.0,
001460,,30128.0,
001465,,30128.0,
001040,5963.0,5877.0,3.73
079160,-952.0,-8308.333333333334,9.61
00104K,5963.0,5877.0,3.73
000120,9279.0,3178.0,5.63
011150,,56.666666666666664,
011155,,56.666666666666664,
001045,5963.0,5877.0,3.73
097950,22504.0,29525.333333333332,5.21
097955,22504.0,29525.333333333332,5.21
000480,,691.6666666666666,
000590,,9504.666666666666,
012030,,53.666666666666664,
016610,,2059.3333333333335,
005830,28249.0,8464.333333333334,
000990,5534.0,4400.0,4.28
139130,2805.0,2271.3333333333335,
001530,561.0,926.6666666666666,26.87
000210,-7348.0,21626.0,10.82
001880,2295.0,7182.333333333333,-2.04
000215,-7348.0,21626.0,10.82
375500,5985.0,13556.0,0.89
37550L,5985.0,13556.0,0.89
37550K,5985.0,13556.0,0.89
007340,,6422.666666666667,
004840,,119.66666666666667,
155660,,624.0,
069730,,455.0,
017940,35481.0,7234.0,5.58
365550,,112.66666666666667,
383220,12046.0,8852.0,4.49
007700,,33377.0,
114090,965.0,-567.0,5.85
078930,14855.0,6160.666666666667,3.27
006360,-1590.0,4745.0,37.16
001250,,-299.3333333333333,
007070,1792.0,4292.333333333333,4.58
078935,14855.0,6160.666666666667,3.27
012630,,2642.3333333333335,
039570,462.0,373.6666666666667,
089470,,389.0,
294870,2447.0,4838.0,8.18
009540,4082.0,-7531.333333333333,11.27
267250,7111.0,-2455.3333333333335,4.22
267270,11271.0,1811.0,3.06
322000,1625.0,916.6666666666666,6.71
042670,1657.0,1231.6666666666667,3.19
267260,5109.0,-4245.333333333333,8.95
329180,530.0,-6308.333333333333,35.34
097230,,1481.6666666666667,
014790,468.0,1438.0,13.19
003580,,-707.6666666666666,
204320,3844.0,2012.0,4.61
060980,9251.0,6090.0,4.81
