ticker,price,시가총액,sector1,sector2,PER_E,FCF,부채비율,ROE_E,ROA_E,EPS_E,EPS_M,EV/EBITDA_E
267270,49100,967308936300,기계,기계,19.32,541.0,90.79,14.05,6.08,11271.0,1811.0,3.06
089860,26700,978129482100,서비스업,도로와철도운송,13.67,1246.0,394.94,9.91,1.88,3660.0,2108.0,3.67
103140,35750,1001867938500,철강금속,비철금속,21.64,-792.0,76.8,8.77,4.83,5948.0,3958.6666666666665,5.19
294870,15270,1006404929100,건설업,건설,9.47,-1489.0,130.46,5.55,2.23,2447.0,4838.0,8.18
009900,19230,1009000657590,운수장비,자동차부품,9.78,166.0,98.3,34.5,16.01,3053.0,-133.0,3.64
000210,48500,1016360374000,화학,화학,38.69,2153.0,166.13,-4.29,-1.31,-7348.0,21626.0,10.82
006650,166000,1079000000000,화학,화학,38.69,419.0,18.44,-1.58,-1.16,-4491.0,19667.666666666668,8.96
161890,47950,1097152581000,화학,화장품,66.38,234.0,99.91,9.77,2.95,2973.0,3284.333333333333,8.15
093370,11710,1104863137840,화학,화학,38.69,-309.0,130.59,-5.9,-4.03,-220.0,146.33333333333334,48.69
001120,30500,1182180000000,유통업,무역회사와판매업체,11.86,1968.0,170.18,11.11,4.77,6796.0,5815.666666666667,2.47
120110,43850,1206712140350,화학,화학,38.69,-453.0,108.69,2.98,1.42,2589.0,4755.666666666667,7.86
069960,52100,1219267176100,유통업,백화점과일반상점,16.34,1816.0,88.56,3.86,1.85,7684.0,6464.333333333333,4.51
280360,130700,1233098821800,음식료품,식품,10.81,791.0,97.27,4.78,2.33,10475.0,5919.0,5.52
069620,108600,1258302045000,의약품,제약,106.38,415.0,99.84,11.71,5.1,6697.0,1705.0,9.47
192820,113300,1285899369700,화학,화장품,66.38,-176.0,304.42,12.52,4.23,6814.0,4020.3333333333335,9.5
353200,27050,1336727821250,전기전자,전자장비와기기,33.19,255.0,29.84,3.59,2.62,598.0,485.5,7.44
001740,5760,1358082806400,유통업,복합기업,17.35,5881.0,324.41,1.79,0.49,164.0,2.0,5.05
006280,118800,1388360714400,의약품,제약,106.38,-652.0,72.53,-0.17,-0.05,-250.0,5722.333333333333,19.07
248070,28050,1402655705550,전기전자,전자장비와기기,33.19,313.0,151.55,35.79,11.37,2536.0,756.0,7.95
005300,152200,1412246144800,음식료품,음료,18.76,581.0,179.72,9.45,3.66,13628.0,-1318.6666666666667,6.61
006360,16790,1436913217100,건설업,건설,9.47,34.0,250.3,-2.86,-0.49,-1590.0,4745.0,37.16
004800,68300,1439151007500,기타금융업,복합기업,17.35,191.0,86.52,0.89,0.62,1076.0,7700.0,12.41
018670,157900,1457455527600,유통업,가스유틸리티,3.26,-2994.0,127.6,10.92,4.41,28942.0,24321.666666666668,5.01
000150,88500,1462359397500,기타금융업,복합기업,17.35,178.0,147.11,2.85,2.11,2366.0,634.0,2.84
375500,38250,1480031079750,건설업,건설,9.47,-2981.0,90.95,5.79,2.99,5985.0,13556.0,0.89
004000,59100,1524780000000,화학,화학,38.69,272.0,10.62,10.55,9.1,9727.0,12307.666666666666,2.1
185750,122000,1533352608000,의약품,제약,106.38,773.0,73.75,26.05,15.05,14485.0,4992.333333333333,6.19
005850,33350,1549058142000,운수장비,자동차부품,9.78,704.0,61.38,17.7,10.64,6770.0,1761.3333333333333,2.45
042670,7830,1562895036990,기계,기계,19.32,593.0,156.13,18.54,6.82,1657.0,1231.6666666666667,3.19
336260,24100,1578398796600,전기전자,전기제품,45.28,131.0,106.27,1.08,0.57,70.0,314.0,55.32
000080,22800,1599046330800,음식료품,음료,18.76,-532.0,199.26,3.85,1.31,621.0,543.0,8.26
011210,58800,1599070880400,운수장비,자동차부품,9.78,2508.0,88.88,2.89,1.15,3562.0,2188.0,3.99
073240,5610,1611530210070,화학,자동차부품,9.78,690.0,259.43,9.2,2.39,381.0,-229.33333333333331,6.12
003230,217500,1638430762500,음식료품,식품,10.81,435.0,95.8,24.14,12.36,16273.0,8102.666666666667,9.16
004170,171900,1692386613900,유통업,백화점과일반상점,16.34,1331.0,131.02,7.06,2.73,30400.0,24708.33333333333,4.17
298020,391500,1694287503000,화학,"섬유,의류,신발,호화품",8.37,918.0,176.08,8.29,2.57,23994.0,77042.66666666667,6.16
204320,36350,1706891312000,운수장비,자동차부품,9.78,-664.0,166.96,8.16,3.2,3844.0,2012.0,4.61
298050,395000,1769579460000,화학,화학,38.69,-529.0,296.05,11.26,3.21,18061.0,13452.0,8.22
007660,29300,1853120076700,전기전자,전자장비와기기,33.19,-172.0,130.01,20.98,9.01,812.0,-765.6666666666666,22.24
298040,200000,1864909600000,전기전자,전기장비,16.66,558.0,307.03,14.7,3.52,16644.0,1735.0,7.53
000880,25250,1892708058750,화학,복합기업,17.35,-2149.0,481.73,10.84,0.85,9871.0,4290.333333333333,3.13
047040,4585,1905629795230,건설업,건설,9.47,1569.0,176.62,13.35,4.7,1275.0,783.6666666666666,2.57
010060,99700,1975327685500,화학,화학,38.69,928.0,52.09,18.09,11.1,36503.0,-5491.0,1.02
009420,37850,1977308148300,의약품,제약,106.38,214.0,22.07,4.64,3.7,157.0,305.0,151.19
111770,44850,1987369339800,유통업,"섬유,의류,신발,호화품",8.37,2221.0,49.89,17.58,12.05,12147.0,4604.0,1.19
