,종목코드,S
0,095570,2610.0
1,006840,11402.0
2,027410,1092.0
3,282330,22068.0
4,138930,23472.0
5,001460,406.0
6,001465,406.0
7,001040,106190.0
8,079160,4076.0
9,00104K,106190.0
10,000120,29371.0
11,011150,377.0
12,011155,377.0
13,001045,106190.0
14,097950,74434.0
15,097955,74434.0
16,000480,1960.0
17,000590,410.0
18,012030,1133.0
19,016610,2413.0
20,005830,52556.0
21,000990,2678.0
22,139130,17749.0
23,001530,1844.0
24,000210,12644.0
25,001880,5924.0
26,000215,12644.0
27,375500,18374.0
28,37550L,18374.0
29,37550K,18374.0
30,007340,8013.0
31,004840,1749.0
32,155660,716.0
33,069730,518.0
34,017940,18395.0
35,365550,시가총액
36,383220,4928.0
37,007700,4961.0
38,114090,966.0
39,078930,64863.0
40,006360,31075.0
41,001250,9175.0
42,007070,30902.0
43,078935,64863.0
44,012630,14600.0
45,039570,1548.0
46,089470,2490.0
47,294870,10332.0
48,009540,50112.0
49,267250,137232.0
50,267270,9287.0
51,322000,1409.0
52,042670,10762.0
53,267260,6944.0
54,329180,28535.0
55,097230,4905.0
56,014790,4115.0
57,003580,227.0
58,204320,21191.0
59,060980,2811.0
60,011200,21266.0
61,082740,1876.0
62,035000,1165.0
63,003560,81.0
64,175330,10468.0
65,234080,511.0
66,001060,1842.0
67,001067,1842.0
68,001065,1842.0
69,096760,2165.0
70,105560,186944.0
71,432320,시가총액
72,002380,15527.0
73,344820,4251.0
74,009070,2108.0
75,009440,1795.0
76,119650,1009.0
77,092220,521.0
78,003620,9047.0
79,016380,8849.0
80,001390,22206.0
81,033180,445.0
82,015590,310.0
83,001940,3400.0
84,025000,2313.0
85,092230,3101.0
86,000040,191.0
87,044450,1135.0
88,030200,66974.0
89,033780,16895.0
90,058850,2694.0
91,058860,1455.0
92,093050,4169.0
93,003550,18617.0
94,034220,47853.0
95,051900,17462.0
96,051905,17462.0
97,373220,82235.0
98,003555,18617.0
99,032640,35811.0
100,011070,47636.0
101,066570,207093.0
102,066575,207093.0
103,037560,2887.0
104,051910,134948.0
105,051915,134948.0
106,079550,5360.0
107,006260,60139.0
108,010120,10226.0
109,000680,853.0
110,229640,1675.0
111,108320,4128.0
112,001120,36594.0
113,108670,8642.0
114,108675,8642.0
115,383800,309.0
116,38380K,309.0
117,023150,258.0
118,035420,24453.0
119,181710,5715.0
120,400760,시가총액
121,005940,22904.0
122,005945,22904.0
123,338100,시가총액
124,034310,7816.0
125,030190,1188.0
126,008260,855.0
127,004250,1371.0
128,004255,1371.0
129,456040,4501.0
130,010060,6903.0
131,178920,614.0
132,005490,189608.0
133,010950,89996.0
134,010955,89996.0
135,034120,2384.0
136,005090,8005.0
137,001380,210.0
138,004060,351.0
139,001770,275.0
140,002360,344.0
141,009160,1472.0
142,123700,508.0
143,025530,518.0
144,034730,338640.0
145,011790,5506.0
146,018670,17201.0
147,001740,22830.0
148,006120,23598.0
149,006125,23598.0
150,210980,579.0
151,068400,3641.0
152,395400,시가총액
153,302440,2318.0
154,326030,903.0
155,402340,405.0
156,361610,1822.0
157,100090,2370.0
158,03473K,338640.0
159,096770,198891.0
160,096775,198891.0
161,001510,3323.0
162,001515,3323.0
163,285130,5814.0
164,28513K,5814.0
165,017670,44026.0
166,000660,90662.0
167,003570,1344.0
168,064960,2767.0
169,100840,863.0
170,036530,4857.0
171,005610,8626.0
172,011810,1738.0
173,465770,28.0
174,077970,1385.0
175,071970,694.0
176,002820,1075.0
177,084870,393.0
178,002710,1398.0
179,069260,2370.0
180,002900,1765.0
181,024070,289.0
182,037270,597.0
183,000500,4118.0
184,000860,1589.0
185,035250,3740.0
186,011420,86.0
187,002100,426.0
188,009450,2824.0
189,267290,2813.0
190,012320,717.0
191,000050,985.0
192,214390,546.0
193,012610,841.0
194,009140,46.0
195,013580,7305.0
196,012200,965.0
197,012205,965.0
198,002140,831.0
199,010130,22932.0
200,002240,4354.0
201,009290,3978.0
202,017040,395.0
203,017900,319.0
204,037710,411.0
205,030610,7772.0
206,339770,1114.0
